station_id,station_name,station_lat,station_lng
6188.04,Corona Ave & 98 St,40.744483471,-73.86527729
5878.02,60 Ave & Junction Blvd,40.73466,-73.86501
8799.01,Goulden Ave & W 205 St,40.87822473,-73.891926408
8720.02,Jerome Ave & E 198 St,40.87144520687118,-73.89289632439613
4987.06,White St & Moore St,40.704297781,-73.934761405
7170.04,35 St & 21 Ave,40.776820183,-73.906606317
6994.06,Ditmars Blvd & 79 St,40.768717408,-73.890929341
6028.01,57 Ave & 98 Pl,40.737955689,-73.861109614
5845.02,Woodhaven Blvd & Hoffman Dr,40.73303,-73.871
5929.01,E 23 St & 1 Ave,40.736514926,-73.978145957
5955.12,Perry St & Greenwich Ave,40.735918,-74.000939
6398.06,W 37 St & 5 Ave,40.750479817,-73.983410954
6779.04,Broadway & W 51 St,40.76228826,-73.98336183
8374.02,Park Ave & E 179 St,40.85014,-73.89818
5250.05,Bushwick Ave & Powers St,40.71247661,-73.94100005
5129.01,Palmetto St & Traffic Ave,40.70929,-73.89441
6134.03,Greenpoint Ave & 47 St,40.7424,-73.91808
5342.10,Allen St & Hester St,40.715866327,-73.991988063
5872.10,E 9 St & 5 Ave,40.732587457,-73.995731711
5369.01,Grand Ave & 55 St,40.71888,-73.91427
6174.03,79 St & Woodside Ave,40.74364,-73.88622
6688.01,Crescent St & 35 Ave,40.7596276,-73.9321455
8520.01,Andrew Ave N & Hall of Fame Tce,40.858389974,-73.910016179
8613.09,10 Ave & W 207 St,40.864632,-73.918598
6258.03,72 St & 41 Ave,40.7448,-73.89377
6237.01,47 Ave & Skillman Ave,40.7437524099784,-73.94176483154297
5170.01,Stagg St & Morgan Ave,40.710681,-73.93372
7703.14,E 141 St & Jackson Ave,40.807162166,-73.911921263
7719.13,Southern Blvd & E 142 St,40.807347437082,-73.90809774398804
6532.06,E 51 St & 1 Ave,40.75455731,-73.96592976
7720.03,Lenox Ave & W 126 St,40.808442,-73.9452087
5905.14,University Pl & E 14 St,40.734814,-73.992085
8225.05,Clay Ave & Claremont Pkwy,40.83999,-73.90549
5669.12,E 6 St & 2 Ave,40.727378693232225,-73.98840844631195
3628.11,6 Ave & 21 St,40.66016,-73.990974
5980.07,E 17 St & Broadway,40.73704984,-73.99009296
4903.08,Old Fulton St,40.70277159,-73.99383605
6677.03,32 Ave & 81 St,40.75763,-73.88682
6709.05,31 Ave & 86 St,40.75958,-73.88219
8782.01,Paul Ave & W 205 St,40.877143741,-73.889353037
8876.04,Van Cortlandt Park S & Gouverneur Ave,40.88492,-73.89084
6708.04,Broadway & W 48 St,40.76017739537783,-73.98486793041229
3950.03,Park Pl & Thomas S. Boyland St,40.671494484,-73.914398551
4807.02,Madison St & Cypress Ave,40.70068,-73.90742
4476.03,Marcy Ave & Lafayette Ave,40.6900815,-73.947915
5489.04,N 11 St & Kent Ave,40.72248188638219,-73.95921930670738
8157.06,Broadway & W 160 St,40.835711598,-73.943508148
8344.04,Macombs Rd & W 175 St,40.848177,-73.916082
5036.06,Leonard St & Boerum St,40.705853224,-73.946442366
7159.08,Astoria Park S & Shore Blvd,40.7767,-73.927631
6373.07,W 30 St & 8 Ave,40.74965268472847,-73.9952078461647
6644.07,W 42 St & Dyer Ave,40.75898481399634,-73.99379968643188
7860.08,Convent Ave & W 135 St,40.818215,-73.950988
6670.03,43 St & Broadway,40.7577284,-73.9166368
3312.07,Prospect Ave & Greenwood Ave,40.651745,-73.975988
6505.09,24 St & 41 Ave,40.752474,-73.939991
6119.01,49 Ave & 27 St,40.74113,-73.942518
6245.08,46 Rd & 11 St,40.745805,-73.950752
5332.10,Jackson St & Leonard St,40.71638031973561,-73.94821286201477
5411.08,Driggs Ave & N 9 St,40.71816969454208,-73.95520135760307
6267.08,65 St & Roosevelt Ave,40.74589,-73.89915
8778.01,E Mosholu Pkwy & Van Cortlandt Ave E,40.87656,-73.88366
6877.06,25 Ave & 96 St,40.76447,-73.87369
5159.07,South St & Pike St,40.709952235,-73.991484404
3243.02,47 St & 3 Ave,40.649140716,-74.01229167
4596.05,Duffield St & Willoughby St,40.69221589,-73.9842844
6331.01,W 31 St & 7 Ave,40.749156,-73.9916
5826.02,India St & Manhattan Ave,40.73232194,-73.9550858
7432.04,W 90 St & Amsterdam Ave,40.79017948095081,-73.97288918495178
5198.04,Market St & Cherry St,40.71076228,-73.99400398
6115.09,W 15 St & 10 Ave,40.742753828659026,-74.00747358798981
8092.06,Grand Concourse & E 166 St,40.83196,-73.91956
4939.07,Suydam St & Knickerbocker Ave,40.702013,-73.923769
5160.01,Metropolitan Ave & 65 Ln,40.71225071,-73.890971303
5956.05,50 Ave & 65 St,40.73707,-73.90077
3943.03,St Johns Pl & Kingston Ave,40.67113,-73.94222
5433.04,Frost St & Debevoise Ave,40.71882,-73.93948
6098.12,Broadway & E 19 St,40.73866091428551,-73.98987293243407
6313.10,Lexington Ave & E 36 St,40.747573958954796,-73.9788007736206
4531.05,Henry St & Atlantic Ave,40.69089272,-73.99612349
7617.07,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613
5436.11,E Houston St & Columbia St,40.71978635452822,-73.97871628403664
4611.03,Willoughby Ave & Hall St,40.69196035,-73.96536851
8111.07,River Ave & McClellan St,40.83406,-73.92243
4568.01,Van Buren St & Broadway,40.692,-73.92617
4285.09,Rockaway Ave & Bainbridge St,40.68319988172761,-73.91166642308235
3022.01,Cortelyou Rd & E 19 St,40.64267993,-73.961006045
